Ref,Val,Package,PosX,PosY,Rot,Side
"J1","STX-353K7A-6N-KT-TR","Kycon_STX_353K7A_6N_FIT_COUPON",70.000000,-87.000000,0.000000,top
"K1","TQ2-12V","Panasonic_TQ2_12V_FIT_COUPON",43.000000,-89.000000,0.000000,top
"U101","AK5558_QFN64_OPEN_CONTROL","AK5558_QFN64_OPEN_CONTROL",42.000000,-43.000000,0.000000,top
"U102","AK5558_QFN64_BOTTOM_TENTED","AK5558_QFN64_BOTTOM_TENTED",70.000000,-43.000000,0.000000,top
"U103","AK5558_QFN64_TYPE_VII_CANDIDATE","AK5558_QFN64_TYPE_VII_CANDIDATE",98.000000,-43.000000,0.000000,top
"U201","AK4458_QFN48_OPEN_CONTROL","AK4458_QFN48_OPEN_CONTROL",42.000000,-69.000000,0.000000,top
"U202","AK4458_QFN48_BOTTOM_TENTED","AK4458_QFN48_BOTTOM_TENTED",70.000000,-69.000000,0.000000,top
"U203","AK4458_QFN48_TYPE_VII_CANDIDATE","AK4458_QFN48_TYPE_VII_CANDIDATE",98.000000,-69.000000,0.000000,top
