reference,assembly,manufacturer,part_number,qty,description,distributor,distributor_part_number,source_url,status,notes
SW201,Panel,E-Switch,RA812C1121,1,"Maintained DPST OFF-ON snap-in rocker; black; white I/O marking; four 0.187 inch tabs",DigiKey,EG5633-ND,https://www.digikey.com/en/products/detail/e-switch/RA812C1121/3778076,Selected,"Pole A: J204-1 INTVCC to J204-2 SHDN_MAIN; pole B: J204-3 PRE_INTVCC to J204-4 SHDN_PRE"
T201-T204,Switch harness,TE Connectivity,2-520182-2,4,"Fully insulated 0.187 inch female quick-connect receptacle; 18-22 AWG",DigiKey,A27804-ND,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/2-520182-2/289248,Selected,"Crimp to four 22 AWG stranded switch conductors"
P204,Switch harness,Molex,0430250400,1,"Micro-Fit 3.0 four-circuit dual-row receptacle housing",DigiKey,,https://www.digikey.com/en/products/detail/molex/0430250400/252497,Selected,"Mates with PCB J204 header 43045-0412"
C204A-C204D,Switch harness,Molex,0430300007,4,"Micro-Fit 3.0 female socket crimp contact; 20-24 AWG",DigiKey,WM1837-ND,https://www.digikey.com/en/products/detail/molex/0430300007/252479,Selected,"Use 22 AWG stranded wire"
J204,Power-selector PCB,Molex,43045-0412,1,"Micro-Fit 3.0 four-circuit vertical PCB header",DigiKey,WM1790-ND,https://www.digikey.com/en/products/detail/molex/0430450412/252503,Selected,"Keyed panel-switch harness interface"
